"Title: Hospital Beds per 1,000 Population by Ownership Type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeframe: 1999—2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: See http://kff.org/other/state-indicator/beds-by-ownership/# for notes and sources.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
Location,"State/Local Government,1999","Non-Profit,1999","For-Profit,1999","Total,1999","State/Local Government,2000","Non-Profit,2000","For-Profit,2000","Total,2000","State/Local Government,2001","Non-Profit,2001","For-Profit,2001","Total,2001","State/Local Government,2002","Non-Profit,2002","For-Profit,2002","Total,2002","State/Local Government,2003","Non-Profit,2003","For-Profit,2003","Total,2003","State/Local Government,2004","Non-Profit,2004","For-Profit,2004","Total,2004","State/Local Government,2005","Non-Profit,2005","For-Profit,2005","Total,2005","State/Local Government,2006","Non-Profit,2006","For-Profit,2006","Total,2006","State/Local Government,2007","Non-Profit,2007","For-Profit,2007","Total,2007","State/Local Government,2008","Non-Profit,2008","For-Profit,2008","Total,2008","State/Local Government,2009","Non-Profit,2009","For-Profit,2009","Total,2009","State/Local Government,2010","Non-Profit,2010","For-Profit,2010","Total,2010","State/Local Government,2011","Non-Profit,2011","For-Profit,2011","Total,2011","State/Local Government,2012","Non-Profit,2012","For-Profit,2012","Total,2012","State/Local Government,2013","Non-Profit,2013","For-Profit,2013","Total,2013","State/Local Government,2014","Non-Profit,2014","For-Profit,2014","Total,2014"
New Hampshire,N/A,2.2,0.3,2.5,N/A,2,0.3,2.3,N/A,2,0.3,2.3,N/A,1.9,0.3,2.3,N/A,1.9,0.3,2.2,N/A,1.9,0.3,2.2,N/A,1.9,0.3,2.2,N/A,1.8661,0.2874,2.1535,N/A,1.87,0.29,2.16,N/A,1.876883692,0.285201593,2.162085285,N/A,1.864,0.2975,2.16,N/A,1.865945097,0.299219523,2.16516462,N/A,1.83107238,0.324023169,2.155095549,N/A,1.815200622,0.326872309,2.14207293,N/A,1.8,0.33,2.12,N/A,1.81,0.33,2.14
New Jersey,0.1,2.9,0.1,3,0.1,2.9,0.1,3,0.1,2.8,0.1,2.9,0.1,2.7,0.1,2.8,0.1,2.5,0.1,2.6,0.1,2.4,0.1,2.5,0,2.4,0.1,2.5,0.0553,2.4226,0.0717,2.5495,0.13,2.25,0.1,2.48,0.133665797,2.147309866,0.127663533,2.408639197,0.128,2.2059,0.0839,2.42,0.117251089,2.17232638,0.107252934,2.396830403,0.068705783,2.086980616,0.152918473,2.308604873,0.098672166,2.076062369,0.211665892,2.386400427,0.12,2.06,0.22,2.4,0.04,2,0.25,2.3
New Mexico,0.4,1.2,0.3,1.9,0.4,1.1,0.4,1.9,0.5,1.1,0.4,2,0.4,1.1,0.5,1.9,0.4,1,0.6,2,0.4,0.9,0.6,1.9,0.2,0.7,0.8,1.8,0.2868,0.831,0.6971,1.8149,0.38,0.84,0.66,1.88,0.378505136,0.797276776,0.804826746,1.980608658,0.3822,0.7235,0.8414,1.95,0.355771632,0.789474194,0.778825247,1.924071073,0.366098773,0.777899757,0.813018299,1.957016829,0.341726101,0.789041727,0.825518109,1.956285936,0.34,0.67,0.81,1.83,0.34,0.66,0.81,1.81
New York,0.6,3.1,0.1,3.8,0.5,2.8,0.2,3.5,0.5,2.9,0.1,3.5,0.5,2.9,0,3.4,0.5,2.8,0,3.4,0.5,2.8,0,3.3,0.2,2.7,0,3.3,0.4957,2.7845,0.0177,3.2979,0.61,2.61,0.01,3.23,0.523582827,2.620122912,0.001849208,3.145554947,0.5173,2.5736,N/A,3.09,0.538874149,2.529872321,N/A,3.06874647,0.5453907,2.432824029,N/A,2.978214728,0.536010063,2.383260221,N/A,2.919270285,0.49,2.37,N/A,2.86,0.5,2.3,N/A,2.8
North Carolina,0.8,2.1,0.1,3.1,0.8,1.9,0.1,2.9,0.8,2,0.1,2.9,0.8,2,0.1,2.8,0.7,1.9,0.1,2.8,0.8,1.9,0.1,2.8,0.3,1.8,0.1,2.7,0.7371,1.8003,0.1054,2.6429,0.72,1.74,0.09,2.56,0.70000067,1.698796622,0.103599667,2.502396959,0.6899,1.6478,0.0959,2.43,0.726659818,1.575998389,0.104062539,2.406720746,0.699712769,1.59432554,0.103200639,2.397238948,0.677754749,1.514818281,0.136843474,2.329416505,0.67,1.47,0.16,2.3,0.64,1.4,0.17,2.22
North Dakota,N/A,5.6,0.6,6.1,N/A,5.5,0.6,6,N/A,5.5,0.3,5.8,N/A,5.8,0.3,6.1,N/A,5.7,N/A,5.7,N/A,5.6,N/A,5.6,N/A,5.5,N/A,5.5,N/A,5.569,N/A,5.569,N/A,5.36,0.1,5.45,N/A,5.230573991,0.135636345,5.366210336,N/A,5.0862,0.1113,5.2,N/A,4.852490515,0.106745896,4.959236411,N/A,4.487834799,0.1051494,4.592984198,N/A,4.501350976,0.138305684,4.63965666,N/A,3.94,0.1,4.04,N/A,4.15,0.1,4.25
Ohio,0.3,2.7,0.1,3,0.3,2.6,0.1,3,0.3,2.6,0.1,2.9,0.3,2.6,0.1,3,0.3,2.5,0,2.9,0.3,2.6,0,2.9,0.1,2.5,0.1,2.9,0.292,2.5019,0.0693,2.8632,0.29,2.53,0.05,2.87,0.293023846,2.560532238,0.083621962,2.937178047,0.2973,2.5492,0.0986,2.95,0.289783916,2.515216906,0.169640181,2.974641003,0.268000877,2.483232182,0.179880317,2.931113377,0.253180313,2.485321817,0.174932448,2.913434578,0.24,2.45,0.18,2.87,0.24,2.46,0.19,2.9
Oklahoma,0.9,1.9,0.5,3.3,0.8,2,0.5,3.2,0.8,2,0.5,3.2,0.8,1.8,0.5,3.2,0.8,1.8,0.5,3.1,0.7,1.7,0.6,3.1,0.2,1.6,0.8,3.1,0.637,1.5008,0.8735,3.0113,0.64,1.47,0.89,3,0.635012109,1.490110523,0.890224408,3.015347041,0.7201,1.348,1.0011,3.07,0.701544141,1.320678778,0.947177634,2.969400553,0.673068258,1.307026151,1.006827666,2.986922075,0.682429281,1.292003208,0.999795586,2.974228074,0.66,1.29,1,2.95,0.62,1.27,1,2.9
Oregon,0.3,1.6,0.1,2,0.3,1.5,0.1,1.9,0.3,1.6,0.1,1.9,0.3,1.6,0.1,1.9,0.3,1.5,0.1,1.9,0.3,1.5,0.1,1.8,0.1,1.5,0.1,1.8,0.2809,1.4573,0.0523,1.7905,0.29,1.48,0.05,1.83,0.287338775,1.460484574,0.053396902,1.801220251,0.2797,1.3616,0.0528,1.69,0.259705957,1.360004814,0.052618459,1.672329229,0.259550301,1.44769092,0.051961763,1.759202984,0.245140714,1.422893117,0.051541091,1.719574922,0.25,1.42,0.05,1.72,0.23,1.41,0.05,1.7
Pennsylvania,0,3.5,0.1,3.6,0,3.3,0.1,3.4,0,3.3,0.1,3.4,0,3.1,0.2,3.3,0,3.1,0.2,3.3,0,2.9,0.3,3.2,0,2.9,0.3,3.2,0.0064,2.9109,0.2729,3.1902,0.01,2.89,0.3,3.2,0.026976768,2.86200436,0.326506434,3.215487562,0.0063,2.7725,0.3321,3.11,0.005271593,2.767350426,0.365864309,3.138486329,0.005257397,2.706696543,0.401366986,3.113320927,0.005248943,2.642176823,0.432528561,3.079954326,0.01,2.62,0.43,3.05,0,2.5,0.47,2.98
Rhode Island,N/A,2.4,N/A,2.4,N/A,2.3,N/A,2.3,N/A,2.3,N/A,2.3,N/A,2.3,N/A,2.3,N/A,2.2,N/A,2.2,N/A,2.2,N/A,2.2,N/A,2.2,N/A,2.2,N/A,2.255,N/A,2.255,N/A,2.32,N/A,2.32,N/A,2.337916777,N/A,2.337916777,N/A,2.3851,N/A,2.39,N/A,2.354480922,N/A,2.354480922,N/A,2.349030977,N/A,2.349030977,N/A,2.343131132,N/A,2.343131132,N/A,2.01,0.13,2.14,N/A,2,0.13,2.13
South Carolina,1.1,1.1,0.8,3,0.9,1.3,0.7,2.9,0.9,1.2,0.7,2.8,0.8,1.3,0.7,2.7,0.8,1.3,0.6,2.7,0.8,1.3,0.6,2.7,0.3,1.2,0.7,2.7,0.7949,1.1649,0.763,2.7228,0.78,1.19,0.76,2.73,0.763887655,1.295500169,0.715922616,2.77531044,0.704,1.2795,0.7533,2.74,0.664536813,1.25509241,0.775400793,2.695030015,0.730311545,1.162549846,0.729027669,2.621889061,0.675570249,1.24930744,0.729768301,2.65464599,0.67,1.28,0.73,2.67,0.71,1.12,0.7,2.53
South Dakota,0.5,5.5,N/A,5.9,0.4,5.3,N/A,5.7,0.4,5.4,0.1,5.9,0.4,5.6,0.1,6.1,0.4,5.3,0.1,5.8,0.4,5.5,0.1,6,0.1,5.1,0.1,5.6,0.279,5.0884,0.1192,5.4866,0.28,4.94,0.12,5.33,0.325655163,4.639964601,0.146669119,5.112288883,0.2413,4.685,0.1723,5.1,0.312322787,4.55133913,0.167796949,5.031458866,0.263479656,4.528936016,0.166344299,4.95875997,0.260177184,4.599261193,0.161861382,5.021299759,0.26,4.51,0.16,4.92,0.24,4.39,0.16,4.79
Tennessee,0.8,2,0.9,3.8,0.7,2,0.8,3.6,0.7,2.1,0.8,3.6,0.6,2.1,0.8,3.5,0.6,2,0.8,3.5,0.6,2,0.8,3.5,0.2,1.9,0.9,3.5,0.6048,1.8654,0.8761,3.3462,0.59,2.01,0.92,3.52,0.694180041,1.700196268,0.987107352,3.381483661,0.6869,1.6489,0.993,3.33,0.541301833,1.724583551,1.010870555,3.276755939,0.510329484,1.558645624,1.062691618,3.131666726,0.512787622,1.517913329,1.091571476,3.122272427,0.51,1.55,1.05,3.12,0.49,1.55,1.02,3.06
Texas,0.5,1.4,1,2.8,0.5,1.3,0.9,2.7,0.5,1.3,0.9,2.6,0.5,1.3,0.9,2.6,0.5,1.3,0.9,2.6,0.5,1.2,0.9,2.6,0.2,1.2,0.9,2.5,0.4407,1.1573,0.921,2.519,0.42,1.13,0.88,2.43,0.4151119,1.163416006,0.932921719,2.511449625,0.3774,1.1539,0.9733,2.5,0.36722327,1.136788629,0.925283863,2.429295762,0.365210716,1.100742992,0.90434616,2.370299868,0.339130086,1.067273617,0.945404737,2.351808441,0.33,1.07,0.94,2.33,0.33,1.02,0.92,2.28
Utah,0.3,1,0.6,2,0.3,1.1,0.6,1.9,0.3,1,0.6,1.9,0.2,1,0.6,1.9,0.2,1,0.6,1.9,0.2,1,0.6,1.9,0.1,1,0.6,1.8,0.2342,0.9618,0.5594,1.7554,0.24,0.96,0.54,1.73,0.259226654,0.974574888,0.553285744,1.787087286,0.2514,0.9718,0.5627,1.79,0.228347588,0.96453445,0.638941043,1.831823082,0.222076382,0.992414937,0.610088237,1.824579556,0.236438004,0.983932374,0.605281289,1.825651667,0.23,0.97,0.6,1.8,0.23,0.96,0.58,1.77
Vermont,N/A,2.8,N/A,2.8,N/A,2.7,N/A,2.7,N/A,2.8,N/A,2.8,N/A,2.6,N/A,2.6,N/A,2.4,N/A,2.4,N/A,2.4,N/A,2.4,N/A,2.2,N/A,2.2,N/A,2.1151,N/A,2.1151,N/A,2.19,N/A,2.19,N/A,2.096452937,N/A,2.096452937,N/A,2.0844,N/A,2.08,N/A,2.057639466,N/A,2.057639466,N/A,1.943848629,N/A,1.943848629,N/A,1.966601326,N/A,1.966601326,N/A,1.92,N/A,1.92,N/A,1.92,N/A,1.92
Virginia,0.3,1.8,0.5,2.5,0.3,1.6,0.5,2.4,0.3,1.6,0.5,2.3,0.3,1.7,0.4,2.4,0.2,1.6,0.5,2.3,0.2,1.6,0.5,2.3,0.1,1.6,0.5,2.3,0.2111,1.5325,0.5173,2.2609,0.21,1.48,0.5,2.19,0.210123272,1.548344259,0.505424721,2.263892253,0.2092,1.5593,0.4564,2.22,0.206115756,1.537394246,0.468059722,2.211569724,0.204457242,1.555454431,0.436060285,2.195971958,0.238559759,1.508191162,0.470279094,2.217030015,0.24,1.48,0.45,2.18,0.24,1.51,0.44,2.19
Washington,0.5,1.4,0.1,1.9,0.5,1.3,0.1,1.9,0.5,1.3,0,1.9,0.5,1.3,0,1.9,0.5,1.3,0.1,1.8,0.5,1.2,0.1,1.8,0.3,1.2,0.1,1.7,0.4333,1.2082,0.0726,1.7141,0.44,1.22,0.08,1.75,0.445014851,1.208789485,0.074473738,1.728278074,0.422,1.2,0.077,1.7,0.388464905,1.246053078,0.076062022,1.710580005,0.381195694,1.235918219,0.093210481,1.710324394,0.386929218,1.235911092,0.136614439,1.759454749,0.41,1.22,0.12,1.75,0.41,1.14,0.15,1.7
West Virginia,0.4,3.3,0.8,4.5,0.4,3.3,0.7,4.4,0.4,3.3,0.7,4.4,0.4,3.3,0.7,4.3,0.4,3.2,0.8,4.3,0.3,3,0.7,4.1,0.1,3,0.7,4,0.3439,2.9579,0.6773,3.9791,0.34,3.04,0.72,4.1,0.33556067,3.083962349,0.696467466,4.115990485,0.3308,3.0498,0.6902,4.07,0.289108849,2.968759523,0.678542784,3.936411156,0.307831979,2.969419508,0.69329584,3.970547326,0.316155719,2.875562833,0.692634164,3.884352716,0.3,2.8,0.7,3.8,0.29,2.73,0.68,3.7
Wisconsin,0,3,0,3,0,2.8,0,2.9,0,2.8,0,2.9,0,2.6,0,2.7,0,2.7,0,2.7,0,2.5,0.1,2.6,0,2.6,0,2.6,0.0208,2.4703,0.0432,2.5343,0.02,2.42,0.05,2.5,0.017769533,2.365480195,0.052420122,2.435669849,0.0177,2.3347,0.0592,2.41,0.017571459,2.305024014,0.053065807,2.37566128,0.017163344,2.235087725,0.047987309,2.300238378,0.017119238,2.205237299,0.052056457,2.274412994,0.02,2.14,0.06,2.22,0.01,2.13,0.06,2.2
Wyoming,2.4,1,0.4,3.8,2.5,1,0.4,3.9,2.5,1,0.4,3.9,2.5,0.9,0.4,3.8,2.3,0.9,0.4,3.5,2.9,0.8,0.4,4,0.7,0.7,0.4,4,2.9176,0.7411,0.351,4.0097,2.75,0.86,0.35,3.96,2.694279909,0.844307771,0.350856785,3.889444464,2.5998,0.7478,0.3307,3.68,2.428870071,0.721043121,0.31888885,3.468802041,2.416472197,0.717362644,0.31726112,3.451095961,2.363750507,0.679816727,0.291350026,3.33491726,2.34,0.67,0.29,3.3,2.29,0.66,0.19,3.14
