"Title: Hospital Beds per 1,000 Population by Ownership Type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeframe: 1999—2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: See http://kff.org/other/state-indicator/beds-by-ownership/# for notes and sources.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
Location,"State/Local Government,1999","Non-Profit,1999","For-Profit,1999","Total,1999","State/Local Government,2000","Non-Profit,2000","For-Profit,2000","Total,2000","State/Local Government,2001","Non-Profit,2001","For-Profit,2001","Total,2001","State/Local Government,2002","Non-Profit,2002","For-Profit,2002","Total,2002","State/Local Government,2003","Non-Profit,2003","For-Profit,2003","Total,2003","State/Local Government,2004","Non-Profit,2004","For-Profit,2004","Total,2004","State/Local Government,2005","Non-Profit,2005","For-Profit,2005","Total,2005","State/Local Government,2006","Non-Profit,2006","For-Profit,2006","Total,2006","State/Local Government,2007","Non-Profit,2007","For-Profit,2007","Total,2007","State/Local Government,2008","Non-Profit,2008","For-Profit,2008","Total,2008","State/Local Government,2009","Non-Profit,2009","For-Profit,2009","Total,2009","State/Local Government,2010","Non-Profit,2010","For-Profit,2010","Total,2010","State/Local Government,2011","Non-Profit,2011","For-Profit,2011","Total,2011","State/Local Government,2012","Non-Profit,2012","For-Profit,2012","Total,2012","State/Local Government,2013","Non-Profit,2013","For-Profit,2013","Total,2013","State/Local Government,2014","Non-Profit,2014","For-Profit,2014","Total,2014"
Florida,0.5,1.6,1.2,3.3,0.5,1.6,1.1,3.2,0.5,1.6,1.1,3.2,0.5,1.5,1.1,3.1,0.5,1.5,1,3,0.4,1.4,1,2.9,0.2,1.5,1,2.9,0.4806,1.3708,0.9963,2.8477,0.54,1.32,0.97,2.83,0.537617542,1.390152497,0.940030107,2.867800145,0.5146,1.4,0.9602,2.87,0.522094666,1.348859538,0.958588733,2.829542937,0.472428269,1.326677099,0.974307973,2.773413341,0.450500133,1.325362697,1.007931939,2.783794769,0.45,1.28,0.99,2.72,0.44,1.27,0.98,2.69
Georgia,1,1.6,0.6,3.2,0.9,1.5,0.5,2.9,0.9,1.6,0.4,2.9,0.8,1.6,0.4,2.9,0.8,1.6,0.4,2.8,0.8,1.5,0.4,2.8,0.3,1.5,0.4,2.7,0.7772,1.4471,0.4273,2.6517,0.83,1.42,0.42,2.67,0.807087105,1.426297284,0.404626268,2.638010658,0.6486,1.528,0.4095,2.59,0.60189937,1.586498015,0.438400191,2.626797577,0.574371768,1.578707072,0.423441217,2.576520057,0.549838104,1.523955171,0.412882832,2.486676108,0.45,1.63,0.39,2.47,0.44,1.59,0.39,2.42
Hawaii,0.6,1.8,0.1,2.5,0.6,1.8,0.1,2.5,0.7,1.9,0.1,2.6,0.5,2,N/A,2.6,0.5,2,N/A,2.5,0.6,1.9,N/A,2.5,0.2,1.8,N/A,2.4,0.4755,1.8465,N/A,2.322,0.54,1.74,N/A,2.28,0.688942206,1.708763081,N/A,2.397705287,0.4934,1.7967,N/A,2.29,0.628473747,1.680085596,N/A,2.308559343,0.505032548,1.354009675,N/A,1.859042223,0.653914495,1.362501709,N/A,2.016416203,0.63,1.38,N/A,2.01,0.69,1.33,N/A,2.02
Idaho,1.4,1.1,0.4,2.8,1.3,1,0.4,2.7,1.2,1,0.3,2.6,1.1,1,0.3,2.5,1.2,1,0.3,2.5,1.1,1,0.3,2.5,0.4,1,0.3,2.3,0.8669,1.1026,0.2869,2.2563,0.76,1.15,0.28,2.2,0.715545471,1.17380881,0.278231313,2.167585594,0.6534,1.1327,0.4017,2.19,0.6159916,1.136529956,0.395812784,2.148334341,0.583427625,1.118867696,0.385163259,2.087458579,0.570948677,1.095519526,0.404865912,2.071334115,0.51,1.15,0.42,2.08,0.51,1.12,0.39,2.03
Illinois,0.3,2.8,0.1,3.1,0.2,2.7,0.1,3,0.2,2.6,0.1,2.9,0.2,2.6,0.1,2.9,0.2,2.5,0.1,2.8,0.2,2.4,0.1,2.7,0.1,2.4,0.1,2.7,0.2087,2.343,0.1232,2.675,0.21,2.33,0.16,2.69,0.169275698,2.321506407,0.195982949,2.686765054,0.1681,2.2904,0.1639,2.62,0.160163,2.229201118,0.204233131,2.593597249,0.142459979,2.205874577,0.200314905,2.548649461,0.137859305,2.199998259,0.200338944,2.538196508,0.13,2.15,0.19,2.46,0.14,2.1,0.21,2.45
Indiana,0.7,2.2,0.2,3.2,0.7,2.2,0.2,3.1,0.7,2.2,0.2,3.1,0.7,2.1,0.3,3.1,0.7,2.1,0.3,3.1,0.6,2.1,0.3,3,0.2,2,0.4,2.8,0.6221,1.9363,0.3096,2.868,0.56,1.79,0.34,2.69,0.551632678,1.829279078,0.375999345,2.756911101,0.491,1.8177,0.3844,2.69,0.506731174,1.847589006,0.381781651,2.736101831,0.410352232,1.924696222,0.345438622,2.680487076,0.427362063,1.9148696,0.343082715,2.685314377,0.44,1.85,0.34,2.63,0.45,1.82,0.34,2.61
Iowa,1.3,2.8,N/A,4.1,1.3,2.8,N/A,4,1.2,2.7,0,3.9,1.2,2.7,N/A,3.8,1.1,2.6,N/A,3.7,1.1,2.6,N/A,3.7,0.3,2.6,N/A,3.6,1.0257,2.5066,N/A,3.5323,1.02,2.5,N/A,3.52,1.018708498,2.481974705,0.016700139,3.517383342,1.0187,2.3811,0.0166,3.42,0.976103018,2.282054754,0.045247637,3.303405409,0.957215127,2.255150539,0.045037739,3.257403405,0.951532647,2.237695197,0.050405865,3.239633709,0.94,2.2,0.04,3.18,0.94,2.15,0.05,3.13
Kansas,1.3,2.7,0.4,4.4,1.2,2.5,0.3,4,1.2,2.5,0.4,4.2,1.2,2.4,0.4,4,1.2,2.1,0.6,3.9,1.2,2.1,0.5,3.8,0.3,2,0.5,3.7,1.1761,1.9613,0.4982,3.6356,1.23,1.91,0.49,3.63,1.227221949,1.838151839,0.60556772,3.670941508,1.1981,1.826,0.5687,3.59,1.186358694,1.730922516,0.567997205,3.485278415,1.167090419,1.781641912,0.543132526,3.491864857,1.178693546,1.732170051,0.598877521,3.509741117,1.17,1.63,0.65,3.45,1.2,1.62,0.64,3.45
Kentucky,0.4,2.9,0.4,3.8,0.4,2.8,0.4,3.7,0.4,2.8,0.4,3.7,0.4,2.9,0.4,3.7,0.4,2.8,0.4,3.6,0.4,2.8,0.5,3.7,0.1,2.7,0.5,3.6,0.3663,2.6584,0.4417,3.4663,0.36,2.66,0.38,3.4,0.380836352,2.549481323,0.376638523,3.306956199,0.3558,2.5595,0.3586,3.27,0.3561678,2.54793425,0.371813414,3.275915464,0.374643848,2.432895012,0.440137821,3.247676681,0.363492727,2.422067114,0.452082663,3.237642503,0.35,2.44,0.4,3.19,0.36,2.4,0.41,3.17
Louisiana,1.4,1.4,1.1,3.8,1.3,1.4,1.1,3.9,1.3,1.5,1.2,4,1.2,1.6,1.2,4,1.2,1.6,1.2,4,1.2,1.5,1.2,3.8,0.3,1.4,1,3.4,1.1307,1.6758,0.9321,3.7386,1.13,1.62,0.87,3.61,1.1452286,1.555201569,0.895425892,3.595856061,1.1678,1.5458,0.8163,3.53,1.065747581,1.620077162,0.707710969,3.393535712,1.029779447,1.574288171,0.749546534,3.353614152,1.00301295,1.584047748,0.71662407,3.303684769,0.9,1.73,0.73,3.36,0.88,1.64,0.72,3.24
Maine,0.1,2.8,0.1,2.9,0.1,2.7,0.1,2.9,0.1,2.8,0.1,3,0.1,2.7,0.1,2.9,0.1,2.7,0.1,2.8,0.1,2.6,0.1,2.7,0,2.6,0.1,2.7,0.0563,2.5393,0.0578,2.6534,0.06,2.54,0.07,2.66,0.056073732,2.53089549,0.068197783,2.655167005,0.0561,2.5935,0.0683,2.72,0.055741066,2.566348817,0.067793189,2.689883072,0.055700075,2.553923694,0.067743334,2.677367103,0.055701878,2.528413603,0.067745527,2.651861007,0.06,2.49,0.07,2.62,0.06,2.42,0.07,2.54
Maryland,N/A,2.2,0.1,2.2,N/A,2,0.1,2.1,N/A,2,0.1,2.1,N/A,2,0.1,2.1,0,2,0.1,2.1,N/A,2,0.1,2.1,N/A,2,0.1,2,N/A,1.9886,0.0605,2.0491,N/A,2.03,0.06,2.09,N/A,2.068336027,0.055490218,2.123826245,N/A,2.0246,0.0611,2.09,N/A,1.960773469,0.058244219,2.019017688,N/A,1.977199699,0.058394691,2.035594389,N/A,2.03148142,0.053697041,2.085178461,N/A,2.08,0.01,2.09,N/A,2,0.01,2.01
Massachusetts,0.1,2.3,0.2,2.6,0.1,2.3,0.2,2.6,0.1,2.2,0.2,2.6,0.1,2.2,0.2,2.5,0.1,2.2,0.2,2.5,0.1,2.2,0.2,2.5,0,2.2,0.2,2.5,0.0869,2.198,0.2552,2.5401,0.09,2.19,0.28,2.56,0.062503868,2.121616634,0.216700453,2.400820955,0.0443,2.1306,0.1734,2.35,0.026230492,2.15562795,0.211521469,2.393379912,0.034660193,2.084606288,0.281973536,2.401240018,0.057484211,1.959128124,0.426165669,2.442778004,0.06,1.97,0.44,2.46,0.06,1.91,0.42,2.38
Michigan,0.2,2.4,0,2.7,0.2,2.4,0,2.6,0.2,2.3,0,2.6,0.2,2.4,0,2.6,0.2,2.4,0,2.6,0.2,2.4,0,2.6,0.1,2.4,0,2.6,0.1687,2.3872,0.0124,2.5682,0.16,2.35,0.01,2.52,0.14336436,2.328021254,0.055186281,2.526571894,0.1401,2.3894,0.0646,2.59,0.132522419,2.397349795,0.064185801,2.594058015,0.119876871,2.241413996,0.205430888,2.566721755,0.150771276,2.175457492,0.213609506,2.539838274,0.12,2.16,0.25,2.53,0.11,2.1,0.25,2.46
Minnesota,0.7,2.7,N/A,3.4,0.7,2.7,N/A,3.4,0.7,2.6,N/A,3.3,0.7,2.6,N/A,3.3,0.7,2.6,N/A,3.2,0.6,2.5,N/A,3.2,0.2,2.5,0,3.1,0.609,2.4646,N/A,3.0736,0.59,2.45,N/A,3.04,0.546594662,2.439888448,N/A,2.98648311,0.5495,2.4004,0.0103,2.96,0.497308771,2.382223876,0.010168373,2.88970102,0.491650084,2.300600733,0.010098556,2.802349373,0.49296924,2.265762468,0.010037835,2.768769544,0.46,2.27,N/A,2.73,0.41,2.25,N/A,2.67
Mississippi,2,1.7,1.1,4.8,1.9,1.6,1.2,4.8,2,1.6,1.2,4.8,1.9,1.6,1.1,4.6,1.9,1.6,1,4.5,1.9,1.6,1,4.5,0.4,1.6,1,4.4,1.8761,1.5919,1.0069,4.4748,1.84,1.58,0.94,4.36,1.882517315,1.575736716,0.995166335,4.453420366,1.7974,1.5342,1.0312,4.36,1.817823084,1.516479935,1.017496084,4.351799103,1.83512306,1.520760837,0.965589092,4.321472989,1.851696831,1.48872407,0.973061662,4.313482563,1.88,1.49,0.92,4.29,1.8,1.42,0.94,4.17
Missouri,0.5,2.8,0.4,3.7,0.6,2.7,0.3,3.6,0.5,2.5,0.3,3.4,0.5,2.4,0.4,3.3,0.5,2.5,0.4,3.4,0.5,2.3,0.5,3.3,0.2,2.3,0.5,3.3,0.5029,2.2317,0.5009,3.2356,0.49,2.17,0.49,3.14,0.475795938,2.201353685,0.507358972,3.184508595,0.4616,2.2264,0.502,3.19,0.466959995,2.226898864,0.432271539,3.126130398,0.475288335,2.226998774,0.417874303,3.120161412,0.466593034,2.224408841,0.468086929,3.159088804,0.45,2.21,0.47,3.13,0.43,2.16,0.48,3.07
Montana,0.8,4.5,N/A,5.3,0.5,4.2,N/A,4.7,0.5,4.4,N/A,4.9,0.5,4.2,N/A,4.7,0.5,4.2,N/A,4.7,0.4,4.3,N/A,4.7,0.1,4.2,N/A,4.6,0.3517,3.9544,0.0127,4.3188,0.39,3.78,0.01,4.18,0.326434478,3.548425419,0.014462287,3.889322184,0.2677,3.6195,0.0308,3.92,0.303764868,3.391872826,0.030275568,3.725913263,0.391914336,3.21249475,0.030070154,3.63447924,0.377923687,3.281968863,0.029836081,3.689728631,0.38,3.26,0.03,3.67,0.33,3.24,0.03,3.6
Nebraska,1.3,3.5,0.2,5,1.3,3.3,0.2,4.8,1.2,3.5,0.2,4.8,1.2,3.4,0.2,4.7,1,3.1,0.2,4.3,1,3,0.2,4.2,0.3,3,0.2,4.3,0.999,3.0078,0.1746,4.1814,0.98,3.02,0.21,4.21,0.872078831,2.987739829,0.216616749,4.076435409,0.9618,2.9656,0.2148,4.14,0.904159626,2.813548081,0.240927127,3.958634834,0.786002213,2.613131665,0.179130338,3.578264216,0.802543994,2.911041043,0.057671059,3.771256097,0.67,2.9,0.06,3.63,0.65,2.8,0.1,3.55
Nevada,0.5,0.5,1,2,0.4,0.5,0.9,1.9,0.4,0.5,1,2,0.4,0.7,1.1,2.1,0.4,0.6,0.8,1.9,0.3,0.7,1,2,0.2,0.6,1,1.9,0.2877,0.6379,1.0107,1.9363,0.28,0.72,0.97,1.97,0.279076311,0.702660629,0.984795311,1.966532251,0.2762,0.6954,0.9652,1.94,0.257335352,0.701386727,0.960940487,1.919662565,0.247791567,0.714330882,1.062489063,2.024611511,0.238168369,0.588522753,1.171599584,1.998290706,0.24,0.58,1.21,2.03,0.23,0.55,1.17,1.95
